rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__tol,params,split0_test_score,split0_train_score
1,0.9992909477664854,0.0,0.9998818036759057,0.0,0.15857601165771484,0.0,0.0029916763305664062,0.0,100,1e-06,"{'model__C': 100, 'model__tol': 1e-06}",0.9992909477664854,0.9998818036759057
1,0.9992909477664854,0.0,0.9998818036759057,0.0,0.1605699062347412,0.0,0.0029926300048828125,0.0,100,1e-05,"{'model__C': 100, 'model__tol': 1e-05}",0.9992909477664854,0.9998818036759057
1,0.9992909477664854,0.0,0.9998818036759057,0.0,0.157578706741333,0.0,0.0019948482513427734,0.0,100,0.0001,"{'model__C': 100, 'model__tol': 0.0001}",0.9992909477664854,0.9998818036759057
1,0.9992909477664854,0.0,0.9998818036759057,0.0,0.16057038307189941,0.0,0.002991914749145508,0.0,100,0.001,"{'model__C': 100, 'model__tol': 0.001}",0.9992909477664854,0.9998818036759057
1,0.9992909477664854,0.0,0.9998818036759057,0.0,0.15510916709899902,0.0,0.0029916763305664062,0.0,100,0.01,"{'model__C': 100, 'model__tol': 0.01}",0.9992909477664854,0.9998818036759057
6,0.9988182462774757,0.0,0.9995272147036227,0.0,0.15059685707092285,0.0,0.0019953250885009766,0.0,10,1e-06,"{'model__C': 10, 'model__tol': 1e-06}",0.9988182462774757,0.9995272147036227
6,0.9988182462774757,0.0,0.9995272147036227,0.0,0.15010619163513184,0.0,0.0019943714141845703,0.0,10,1e-05,"{'model__C': 10, 'model__tol': 1e-05}",0.9988182462774757,0.9995272147036227
6,0.9988182462774757,0.0,0.9995272147036227,0.0,0.14811182022094727,0.0,0.002991914749145508,0.0,10,0.0001,"{'model__C': 10, 'model__tol': 0.0001}",0.9988182462774757,0.9995272147036227
6,0.9988182462774757,0.0,0.9995272147036227,0.0,0.14910888671875,0.0,0.0029916763305664062,0.0,10,0.001,"{'model__C': 10, 'model__tol': 0.001}",0.9988182462774757,0.9995272147036227
6,0.9988182462774757,0.0,0.9995272147036227,0.0,0.14811205863952637,0.0,0.002991914749145508,0.0,10,0.01,"{'model__C': 10, 'model__tol': 0.01}",0.9988182462774757,0.9995272147036227
11,0.9978728432994564,0.0,0.9989953312451982,0.0,0.14711427688598633,0.0,0.001994609832763672,0.0,1,1e-06,"{'model__C': 1, 'model__tol': 1e-06}",0.9978728432994564,0.9989953312451982
11,0.9978728432994564,0.0,0.9989953312451982,0.0,0.14013290405273438,0.0,0.0029916763305664062,0.0,1,1e-05,"{'model__C': 1, 'model__tol': 1e-05}",0.9978728432994564,0.9989953312451982
11,0.9978728432994564,0.0,0.9989953312451982,0.0,0.14312458038330078,0.0,0.002991914749145508,0.0,1,0.0001,"{'model__C': 1, 'model__tol': 0.0001}",0.9978728432994564,0.9989953312451982
11,0.9978728432994564,0.0,0.9989953312451982,0.0,0.14562296867370605,0.0,0.002979755401611328,0.0,1,0.001,"{'model__C': 1, 'model__tol': 0.001}",0.9978728432994564,0.9989953312451982
11,0.9978728432994564,0.0,0.9989953312451982,0.0,0.14212751388549805,0.0,0.0029914379119873047,0.0,1,0.01,"{'model__C': 1, 'model__tol': 0.01}",0.9978728432994564,0.9989953312451982
16,0.9974001418104467,0.0,0.9981088588144909,0.0,0.14001989364624023,0.0,0.0019948482513427734,0.0,0.1,1e-06,"{'model__C': 0.1, 'model__tol': 1e-06}",0.9974001418104467,0.9981088588144909
16,0.9974001418104467,0.0,0.9981088588144909,0.0,0.13862991333007812,0.0,0.002991914749145508,0.0,0.1,1e-05,"{'model__C': 0.1, 'model__tol': 1e-05}",0.9974001418104467,0.9981088588144909
16,0.9974001418104467,0.0,0.9981088588144909,0.0,0.14101791381835938,0.0,0.0019943714141845703,0.0,0.1,0.0001,"{'model__C': 0.1, 'model__tol': 0.0001}",0.9974001418104467,0.9981088588144909
16,0.9974001418104467,0.0,0.9981088588144909,0.0,0.1411304473876953,0.0,0.0029914379119873047,0.0,0.1,0.001,"{'model__C': 0.1, 'model__tol': 0.001}",0.9974001418104467,0.9981088588144909
16,0.9974001418104467,0.0,0.9981088588144909,0.0,0.13614392280578613,0.0,0.0029914379119873047,0.0,0.1,0.01,"{'model__C': 0.1, 'model__tol': 0.01}",0.9974001418104467,0.9981088588144909
21,0.9962183880879225,0.0,0.9968677974115006,0.0,0.15458440780639648,0.0,0.0029921531677246094,0.0,0.01,1e-06,"{'model__C': 0.01, 'model__tol': 1e-06}",0.9962183880879225,0.9968677974115006
21,0.9962183880879225,0.0,0.9968677974115006,0.0,0.15358757972717285,0.0,0.001995086669921875,0.0,0.01,1e-05,"{'model__C': 0.01, 'model__tol': 1e-05}",0.9962183880879225,0.9968677974115006
21,0.9962183880879225,0.0,0.9968677974115006,0.0,0.14860296249389648,0.0,0.0019948482513427734,0.0,0.01,0.0001,"{'model__C': 0.01, 'model__tol': 0.0001}",0.9962183880879225,0.9968677974115006
21,0.9962183880879225,0.0,0.9968677974115006,0.0,0.14860296249389648,0.0,0.0019941329956054688,0.0,0.01,0.001,"{'model__C': 0.01, 'model__tol': 0.001}",0.9962183880879225,0.9968677974115006
21,0.9962183880879225,0.0,0.9968677974115006,0.0,0.1495990753173828,0.0,0.0019953250885009766,0.0,0.01,0.01,"{'model__C': 0.01, 'model__tol': 0.01}",0.9962183880879225,0.9968677974115006
